DisplayName;ServiceName;StartType;ServiceType;Description
ICS (Compartilhamento de Conexão com a Internet);SharedAccess;Disabled;Win32OwnProcess, Win32ShareProcess;"Fornece serviços de conversão de endereço de rede, endereçamento, resolução de nomes e/ou prevenção contra invasão para redes domésticas ou de pequena empresa."
Identidade do Aplicativo;AppIDSvc;Manual;Win32ShareProcess;"Determina e verifica a identidade de um aplicativo. A desabilitação desse serviço impedirá que o AppLocker seja imposto."
Informações sobre Aplicativos;Appinfo;Manual;Win32OwnProcess, Win32ShareProcess;"Facilita a execução de aplicativos interativos com privilégios administrativos adicionais. Se esse serviço for interrompido, os usuários não poderão iniciar aplicativos com privilégios administrativos adicionais necessários para executar as tarefas de usuário desejadas."
Inicializador do Processo de Servidor DCOM;DcomLaunch;Automatic;Win32ShareProcess;"O serviço COMLAUNCH inicia os servidores COM e DCOM em resposta a solicitações de ativação do objeto. Se esse serviço for interrompido ou desabilitado, os programas que utilizam COM ou DCOM não funcionarão corretamente. É altamente recomendado que o serviço DCOMLAUNCH esteja em execução."
Instalador de Módulos do Windows;TrustedInstaller;Manual;Win32OwnProcess;"Proporciona instalação, modificação e remoção de atualizações e de componentes opcionais do Windows. Se esse serviço for desativado, a instalação e desinstalação de atualizações do Windows podem falhar no computador."
Instalador do ActiveX (AxInstSV);AxInstSV;Disabled;Win32ShareProcess;"Fornece validação do Controle de Conta de Usuário para a instalação dos controles ActiveX da Internet e permite o gerenciamento da instalação dos controles ActiveX com base nas configurações da Política de Grupo. Esse serviço é iniciado sob demanda e, caso esteja desabilitado, a instalação dos controles ActiveX e comportará de acordo com as configurações padrão do navegador."
Instalação Automática de Dispositivos Conectados à Rede;NcdAutoSetup;Manual;Win32OwnProcess, Win32ShareProcess;"O serviço de Instalação Automática de Dispositivos Conectados à Rede monitora e instala dispositivos qualificados conectados a uma rede qualificada. Se esse serviço for interrompido ou desabilitado, isso impedirá que o Windows descubra e instale dispositivos conectados à rede qualificados automaticamente. Os usuários ainda poderão adicionar manualmente dispositivos conectados à rede a um PC através da interface do usuário."
Intel(R) Capability Licensing Service TCP IP Interface;Intel(R) Capability Licensing Service TCP IP Interface;Manual;Win32OwnProcess;"Version: 1.56.87.0"
Intel(R) Content Protection HDCP Service;cplspcon;Manual;Win32OwnProcess;"Intel(R) Content Protection HDCP Service - enables communication with Content Protection HDCP HW"
Intel(R) Content Protection HECI Service;cphs;Manual;Win32OwnProcess;"Intel(R) Content Protection HECI Service - enables communication with the Content Protection FW"
